url,title,image_url
https://en.wikipedia.org/wiki/Miles_Davis_%26_Gil_Evans:_The_Complete_Columbia_Studio_Recordings,Miles Davis & Gil Evans: The Complete Columbia Studio Recordings,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/DavisEvansSetSmall.jpg/220px-DavisEvansSetSmall.jpg
https://en.wikipedia.org/wiki/Star_People,Star People,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Miles_Davis_Star_People.jpg/220px-Miles_Davis_Star_People.jpg
https://en.wikipedia.org/wiki/Decoy_(album),Decoy (album),https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Decoy_Miles_Davis.jpg/220px-Decoy_Miles_Davis.jpg
https://en.wikipedia.org/wiki/Live_in_Europe_1967:_The_Bootleg_Series_Vol._1,Live in Europe 1967: The Bootleg Series Vol. 1,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Miles_Davis_Live_in_Europe_1967.jpg/220px-Miles_Davis_Live_in_Europe_1967.jpg
https://en.wikipedia.org/wiki/You%27re_Under_Arrest_(Miles_Davis_album),You're Under Arrest (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Miles_Davis_You%27re_Under_Arrest_front.jpg/220px-Miles_Davis_You%27re_Under_Arrest_front.jpg
https://en.wikipedia.org/wiki/The_Complete_Jack_Johnson_Sessions,The Complete Jack Johnson Sessions,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/The_Complete_Jack_Johnson_Sessions.jpg/220px-The_Complete_Jack_Johnson_Sessions.jpg
https://en.wikipedia.org/wiki/Live_Around_the_World_(Miles_Davis_album),Live Around the World (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/Miles_Davis_Live_Around_The_World.jpg/220px-Miles_Davis_Live_Around_The_World.jpg
https://en.wikipedia.org/wiki/Miles_in_Berlin,Miles in Berlin,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Miles_in_berlin.jpg/220px-Miles_in_berlin.jpg
https://en.wikipedia.org/wiki/The_Complete_Live_at_the_Plugged_Nickel_1965,The Complete Live at the Plugged Nickel 1965,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Miles_Davis_The_Complete_Live_at_the_Plugged_Nickel_1965.jpg/220px-Miles_Davis_The_Complete_Live_at_the_Plugged_Nickel_1965.jpg
https://en.wikipedia.org/wiki/Blue_Period_(album),Blue Period (album),https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Blue_Period_%28Miles_Davis_album_-_cover_art%29.jpg/220px-Blue_Period_%28Miles_Davis_album_-_cover_art%29.jpg
https://en.wikipedia.org/wiki/Miles_Davis_Volume_2,"Miles Davis, Vol. 2",https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Miles_Davis_Volume_2.jpg/220px-Miles_Davis_Volume_2.jpg
https://en.wikipedia.org/wiki/Giant_Steps,Giant Steps,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Coltrane_Giant_Steps.jpg/220px-Coltrane_Giant_Steps.jpg
https://en.wikipedia.org/wiki/The_Columbia_Years_1955%E2%80%931985,The Columbia Years 1955–1985,https://upload.wikimedia.org/wikipedia/en/1/12/Miles_Davis_-_The_Columbia_Years.jpg
"https://en.wikipedia.org/wiki/Miles_Davis,_Vol._3","Miles Davis, Vol. 3",https://upload.wikimedia.org/wikipedia/en/thumb/4/40/MilesVol3BlueNote.jpg/220px-MilesVol3BlueNote.jpg
https://en.wikipedia.org/wiki/The_Complete_On_the_Corner_Sessions,The Complete On the Corner Sessions,https://upload.wikimedia.org/wikipedia/en/thumb/2/20/Cornerbox_front.png/220px-Cornerbox_front.png
https://en.wikipedia.org/wiki/The_Cellar_Door_Sessions_1970,The Cellar Door Sessions 1970,https://upload.wikimedia.org/wikipedia/en/c/cb/Thecellardoorsessions.jpg
https://en.wikipedia.org/wiki/The_Complete_In_a_Silent_Way_Sessions,The Complete In a Silent Way Sessions,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/The_Complete_In_a_Silent_Way_Sessions.jpg/220px-The_Complete_In_a_Silent_Way_Sessions.jpg
https://en.wikipedia.org/wiki/Blue_Moods,Blue Moods,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Blue_Moods_%28Miles_Davis_album%29.jpg/220px-Blue_Moods_%28Miles_Davis_album%29.jpg
https://en.wikipedia.org/wiki/The_Man_with_the_Horn,The Man with the Horn,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Miles_Davis_The_Man_With_The_Horn.jpg/220px-Miles_Davis_The_Man_With_The_Horn.jpg
"https://en.wikipedia.org/wiki/Miles_Davis_Quintet:_Freedom_Jazz_Dance:_The_Bootleg_Series,_Vol._5","Freedom Jazz Dance: The Bootleg Series, Vol. 5",https://upload.wikimedia.org/wikipedia/en/thumb/9/98/Miles_davis_bootleg_5.jpg/220px-Miles_davis_bootleg_5.jpg
