url,title
https://en.wikipedia.org/wiki/Miles_Davis_Volume_1,Miles Davis Vols. 1 & 2
https://en.wikipedia.org/wiki/The_Compositions_of_Al_Cohn,The Compositions of Al Cohn
https://en.wikipedia.org/wiki/Miles_Davis_All_Star_Sextet,Miles Davis All Star Sextet
https://en.wikipedia.org/wiki/Panthalassa:_The_Remixes,Panthalassa: The Remixes
https://en.wikipedia.org/wiki/The_Complete_Miles_Davis_at_Montreux,The Complete Miles Davis at Montreux
https://en.wikipedia.org/wiki/The_New_Sounds,The New Sounds
"https://en.wikipedia.org/wiki/Miles_Davis_%26_John_Coltrane_The_Final_Tour:_The_Bootleg_Series,_Vol._6","The Final Tour: The Bootleg Series, Vol. 6"
https://en.wikipedia.org/wiki/Amandla_(album),Amandla (album)
https://en.wikipedia.org/wiki/The_Essential_Miles_Davis,The Essential Miles Davis
"https://en.wikipedia.org/wiki/That%E2%80%99s_What_Happened_1982-1985:_The_Bootleg_Series,_Vol._7","The Bootleg Series, Vol. 7: That's What Happened 1982–1985"
https://en.wikipedia.org/wiki/Panthalassa:_The_Music_of_Miles_Davis_1969%E2%80%931974,Panthalassa: The Music of Miles Davis 1969–1974
https://en.wikipedia.org/wiki/Young_Man_with_a_Horn_(Miles_Davis_album),Young Man with a Horn (Miles Davis album)
https://en.wikipedia.org/wiki/Miles_Davis_in_Europe,Miles Davis in Europe
https://en.wikipedia.org/wiki/1969_Miles:_Festiva_de_Juan_Pins,1969 Miles: Festiva de Juan Pins
https://en.wikipedia.org/wiki/Miles_from_India,Miles from India
https://en.wikipedia.org/wiki/Miles_Davis_at_Newport_1955%E2%80%931975:_The_Bootleg_Series_Vol._4,Miles Davis at Newport 1955–1975: The Bootleg Series Vol. 4
https://en.wikipedia.org/wiki/Rubberband_(Miles_Davis_album),Rubberband (Miles Davis album)
https://en.wikipedia.org/wiki/Miles!_Miles!_Miles!,Miles! Miles! Miles!
https://en.wikipedia.org/wiki/That%27s_What_Happened:_Live_in_Germany_1987,That's What Happened: Live in Germany 1987
https://en.wikipedia.org/wiki/In_Concert_(Miles_Davis_album),In Concert (Miles Davis album)
https://en.wikipedia.org/wiki/New_Thing_at_Newport,New Thing at Newport
https://en.wikipedia.org/wiki/Cosmic_Music,Cosmic Music
https://en.wikipedia.org/wiki/A_Love_Supreme,A Love Supreme
